,0,1,2,3
0,11.9915,2.4347,-1.8285,-1.0
1,11.9852,2.4334,-1.7569,-1.0
2,11.9759,2.4315,-1.7536,-1.0
3,11.4503,2.3266,-1.686,-1.0
4,11.5669,2.3446,-1.6576,-1.0
5,11.55,2.3412,-1.6571,-1.0
6,11.5764,2.3465,-1.6571,-1.0
7,11.5845,2.3482,-1.6564,-1.0
8,11.5292,2.337,-1.656,-1.0
9,11.5937,2.35,-1.6558,-1.0
10,11.6016,2.3516,-1.655,-1.0
11,11.6093,2.3532,-1.6542,-1.0
12,11.6573,2.3629,-1.6535,-1.0
13,11.6445,2.3603,-1.6535,-1.0
14,11.6165,2.3547,-1.6534,-1.0
15,11.6292,2.3572,-1.6533,-1.0
16,11.6685,2.3652,-1.6531,-1.0
17,11.6772,2.3669,-1.6524,-1.0
18,11.686,2.3687,-1.6518,-1.0
19,11.6722,2.3564,-1.6058,-1.0
20,11.6213,2.3518,-1.5875,-1.0
21,11.6532,2.3544,-1.5538,-1.0
22,11.6396,2.3536,-1.5482,-1.0
23,11.6799,2.3563,-1.5059,-1.0
24,11.6066,2.3487,-1.4966,-1.0
25,11.6998,2.3637,-1.4933,-1.0
26,11.8037,2.2818,-1.4236,-1.0
27,12.0511,2.9434,-1.4215,0.0
28,11.9836,2.927,-1.4214,0.0
29,12.0652,2.9529,-1.4214,-1.0
30,11.9653,2.9225,-1.4212,0.0
31,11.9628,2.9279,-1.4211,0.0
32,11.9491,2.9819,-1.4211,1.0
33,12.045,2.948,-1.421,0.0
34,11.9783,2.9316,-1.421,0.0
35,12.0627,2.9503,-1.421,0.0
36,12.0285,2.9379,-1.4208,0.0
37,12.0439,2.9457,-1.4208,0.0
38,12.0643,2.935,-1.4208,0.0
39,11.995,2.9297,-1.4208,0.0
40,11.9773,2.9294,-1.4208,0.0
41,11.9597,2.9251,-1.4207,0.0
42,12.0457,2.9305,-1.4206,0.0
43,12.0154,2.9091,-1.4206,0.0
44,11.9619,2.9851,-1.4206,1.0
45,11.9606,2.9174,-1.4206,0.0
46,11.9978,2.982,-1.4206,5.0
47,12.0347,2.9755,-1.4206,2.0
48,11.9442,2.9866,-1.4206,1.0
49,11.9774,2.9215,-1.4206,0.0
50,12.0317,2.9131,-1.4205,0.0
51,12.0241,2.9428,-1.4205,0.0
52,11.9629,2.9773,-1.4205,1.0
53,11.7596,2.2882,-1.4205,3.0
54,12.0415,2.9431,-1.4205,0.0
55,11.9996,2.9708,-1.4205,5.0
56,12.017,2.9731,-1.4205,4.0
57,12.0338,2.9773,-1.4205,2.0
58,12.0161,2.9709,-1.4204,4.0
59,11.9971,2.9047,-1.4204,0.0
60,12.0082,2.933,-1.4204,0.0
61,11.9905,2.9346,-1.4204,0.0
62,11.9275,2.9765,-1.4204,1.0
63,11.944,2.9786,-1.4204,1.0
64,11.9595,2.9825,-1.4203,1.0
65,12.0227,2.9405,-1.4203,0.0
66,12.0336,2.9692,-1.4203,2.0
67,11.9896,2.9324,-1.4203,0.0
68,11.9957,2.9795,-1.4203,5.0
69,12.0464,2.9186,-1.4203,0.0
70,12.0572,2.9469,-1.4203,0.0
71,12.035,2.8899,-1.4203,0.0
72,12.034,2.8916,-1.4202,0.0
73,12.0048,2.9381,-1.4202,0.0
74,12.023,2.9386,-1.4202,0.0
75,11.9426,2.9762,-1.4202,1.0
76,11.9794,2.9004,-1.4202,0.0
77,12.0477,2.9787,-1.4202,-1.0
78,11.9782,2.9751,-1.4202,1.0
79,11.9237,2.9815,-1.4202,1.0
80,12.0451,2.9203,-1.4202,0.0
81,12.0492,2.9751,-1.4202,-1.0
82,12.0493,2.9731,-1.4202,-1.0
83,12.0283,2.9143,-1.4202,0.0
84,12.0141,2.9008,-1.4202,0.0
85,12.0142,2.8989,-1.4202,0.0
86,12.0309,2.9049,-1.4202,0.0
87,11.9759,2.9135,-1.4202,0.0
88,11.9936,2.983,-1.4202,5.0
89,12.0318,2.9708,-1.4201,2.0
90,12.0401,2.8635,-1.4201,0.0
91,12.0249,2.9254,-1.4201,0.0
92,12.022,2.8632,-1.4201,0.0
93,11.9428,2.9723,-1.4201,1.0
94,12.0448,2.9162,-1.4201,0.0
95,12.0374,2.8729,-1.4201,0.0
96,12.0307,2.9028,-1.4201,0.0
97,12.0162,2.8874,-1.4201,0.0
98,11.9609,2.9708,-1.4201,1.0
99,11.9958,2.9679,-1.42,6.0
100,12.0103,2.9099,-1.42,0.0
101,12.02,2.8687,-1.42,0.0
102,12.0648,2.9769,-1.42,-1.0
103,11.9786,2.9656,-1.42,1.0
104,12.0221,2.8592,-1.42,0.0
105,11.9652,2.8771,-1.42,0.0
106,11.9589,2.9743,-1.42,1.0
107,12.016,2.8853,-1.42,0.0
108,11.9626,2.9617,-1.42,1.0
109,11.9759,2.9766,-1.42,1.0
110,11.9713,2.9259,-1.42,0.0
111,12.0487,2.8972,-1.42,0.0
112,11.9277,2.7408,-1.42,0.0
113,11.9434,2.9685,-1.42,1.0
114,11.9955,2.8963,-1.42,0.0
115,11.9426,2.9703,-1.42,1.0
116,12.0035,2.9358,-1.42,0.0
117,12.0251,2.9195,-1.42,0.0
118,11.7554,2.2893,-1.42,3.0
119,11.9907,2.9171,-1.42,0.0
120,12.0592,2.9277,-1.42,0.0
121,12.0567,2.9352,-1.42,0.0
122,12.029,2.9004,-1.4199,0.0
123,12.0296,2.9723,-1.4199,2.0
124,12.0298,2.8986,-1.4199,0.0
125,12.031,2.8929,-1.4199,0.0
126,12.0462,2.9046,-1.4199,0.0
127,11.9198,2.9865,-1.4199,1.0
128,11.9749,2.9783,-1.4199,1.0
129,11.9676,2.6401,-1.4199,0.0
130,11.9741,2.9801,-1.4199,1.0
131,12.0126,2.9681,-1.4199,4.0
132,11.9754,2.9034,-1.4199,0.0
133,12.0391,2.9309,-1.4199,0.0
134,11.9387,2.9812,-1.4199,1.0
135,12.0482,2.895,-1.4199,0.0
136,12.0445,2.9082,-1.4199,0.0
137,11.9809,2.8809,-1.4199,0.0
138,11.9541,2.9217,-1.4199,0.0
139,11.9787,2.8923,-1.4199,0.0
140,11.9881,2.9241,-1.4199,0.0
141,12.0371,2.8668,-1.4199,0.0
142,12.0259,2.9157,-1.4199,0.0
143,11.96,2.8957,-1.4199,0.0
144,11.9361,2.9213,-1.4199,0.0
145,11.9587,2.9723,-1.4199,1.0
146,12.0443,2.9061,-1.4198,0.0
147,12.0481,2.893,-1.4198,0.0
148,12.0453,2.9761,-1.4198,-1.0
149,11.9229,2.9713,-1.4198,1.0
150,11.9366,2.9155,-1.4198,0.0
151,11.9378,2.983,-1.4198,1.0
152,12.0059,2.9208,-1.4198,0.0
153,11.9906,2.9091,-1.4198,0.0
154,11.9744,2.9052,-1.4198,0.0
155,11.9718,2.9855,-1.4198,1.0
156,12.0124,2.966,-1.4198,4.0
157,12.0408,2.9233,-1.4198,0.0
158,12.0067,2.915,-1.4198,0.0
159,11.9615,2.9574,-1.4198,1.0
160,11.9563,2.9087,-1.4198,0.0
161,11.9419,2.9661,-1.4198,1.0
162,12.0359,2.8685,-1.4198,0.0
163,11.9442,2.9571,-1.4198,1.0
164,12.0131,2.9642,-1.4198,4.0
165,11.9607,2.9592,-1.4198,1.0
166,12.0024,2.8585,-1.4197,0.0
167,12.0417,2.9135,-1.4197,0.0
168,11.9776,2.888,-1.4197,0.0
169,11.977,2.9613,-1.4197,1.0
170,12.0443,2.9021,-1.4197,0.0
171,11.9941,2.894,-1.4197,0.0
172,12.0196,2.9317,-1.4197,0.0
173,11.9421,2.744,-1.4197,0.0
174,11.9577,2.8971,-1.4197,0.0
175,11.9948,2.9616,-1.4197,6.0
176,11.9779,2.9575,-1.4197,1.0
177,11.9767,2.9632,-1.4197,1.0
178,11.9348,2.919,-1.4197,0.0
179,11.9745,2.9012,-1.4197,0.0
180,12.0007,2.8641,-1.4197,0.0
181,12.0556,2.9289,-1.4197,0.0
182,11.9707,2.9178,-1.4197,0.0
183,12.0527,2.9418,-1.4197,0.0
184,11.9636,2.8727,-1.4197,0.0
185,11.9698,2.9216,-1.4197,0.0
186,11.9912,2.9053,-1.4197,0.0
187,12.0109,2.8941,-1.4197,0.0
188,12.0556,2.9309,-1.4197,0.0
189,11.994,2.9655,-1.4197,6.0
190,11.9358,2.9113,-1.4196,0.0
191,11.984,2.9291,-1.4196,0.0
192,11.957,2.899,-1.4196,0.0
193,12.0525,2.9378,-1.4196,0.0
194,12.0312,2.8794,-1.4196,0.0
195,11.9899,2.9069,-1.4196,0.0
196,11.9427,2.9548,-1.4196,1.0
197,11.9546,2.9793,-1.4196,1.0
198,12.0462,2.8906,-1.4196,0.0
199,11.991,2.83,-1.4196,0.0
200,11.95,2.852,-1.4196,0.0
201,11.9527,2.9848,-1.4196,1.0
202,12.0012,2.9333,-1.4196,0.0
203,11.9468,2.8687,-1.4196,0.0
204,11.9713,2.9104,-1.4196,0.0
205,12.0358,2.9357,-1.4196,0.0
206,12.0059,2.9108,-1.4196,0.0
207,11.9207,2.9728,-1.4196,1.0
208,12.0117,2.8883,-1.4196,0.0
209,12.0096,2.8958,-1.4196,0.0
210,12.0177,2.8642,-1.4196,0.0
211,11.9605,2.9552,-1.4196,1.0
212,11.9604,2.8839,-1.4196,0.0
213,11.9953,2.8823,-1.4196,0.0
214,12.0296,2.8866,-1.4196,0.0
215,11.9797,2.8746,-1.4196,0.0
216,12.0348,2.9375,-1.4196,0.0
217,11.964,2.6373,-1.4195,0.0
218,11.9474,2.6356,-1.4195,0.0
219,11.9668,2.6261,-1.4195,0.0
220,11.9693,2.9139,-1.4195,0.0
221,11.9432,2.6564,-1.4195,0.0
222,11.9454,2.8704,-1.4195,0.0
223,12.0521,2.9361,-1.4195,0.0
224,11.9582,2.8873,-1.4195,0.0
225,11.9695,2.9159,-1.4195,0.0
226,12.0549,2.9247,-1.4195,0.0
227,12.0124,2.8825,-1.4195,0.0
228,11.9929,2.9632,-1.4195,6.0
229,11.9396,2.7455,-1.4195,0.0
230,12.0065,2.8336,-1.4195,0.0
231,11.9945,2.8841,-1.4195,0.0
232,11.9627,2.8705,-1.4195,0.0
233,12.0192,2.926,-1.4195,0.0
234,11.9876,2.9104,-1.4195,0.0
235,11.9446,2.8721,-1.4195,0.0
236,11.9539,2.9062,-1.4195,0.0
237,11.9879,2.9835,-1.4195,5.0
238,11.9224,2.9653,-1.4195,1.0
239,11.9534,2.91,-1.4195,0.0
240,12.0472,2.8832,-1.4195,0.0
241,12.0014,2.9273,-1.4195,0.0
242,11.962,2.8743,-1.4195,0.0
243,12.0226,2.8374,-1.4195,0.0
244,11.9222,2.9632,-1.4195,1.0
245,11.9594,2.66,-1.4195,0.0
246,11.9952,2.8783,-1.4194,0.0
247,11.9332,2.9859,-1.4194,1.0
248,11.9941,2.88,-1.4194,0.0
249,11.9568,2.7435,-1.4194,0.0
250,11.9928,2.9592,-1.4194,6.0
251,11.9731,2.8969,-1.4194,0.0
252,11.9751,2.9588,-1.4194,1.0
253,11.9764,2.9551,-1.4194,1.0
254,11.9774,2.878,-1.4194,0.0
255,11.942,2.9526,-1.4194,1.0
256,11.979,2.6426,-1.4194,0.0
257,11.9928,2.8877,-1.4194,0.0
258,11.9838,2.925,-1.4194,0.0
259,11.986,2.914,-1.4194,0.0
260,11.9515,2.9131,-1.4194,0.0
261,11.9507,2.9169,-1.4194,0.0
262,11.9501,2.8461,-1.4194,0.0
263,11.9494,2.6223,-1.4194,0.0
264,11.992,2.8915,-1.4194,0.0
265,11.9848,2.9177,-1.4194,0.0
266,11.9742,2.8892,-1.4194,0.0
267,11.9704,2.9062,-1.4194,0.0
268,12.0128,2.875,-1.4194,0.0
269,12.0347,2.9318,-1.4194,0.0
270,12.0428,2.8977,-1.4194,0.0
271,12.0017,2.9218,-1.4194,0.0
272,12.0371,2.9204,-1.4194,0.0
273,12.0239,2.9052,-1.4194,0.0
274,12.0509,2.9394,-1.4194,0.0
275,12.0041,2.9124,-1.4194,0.0
276,12.0065,2.901,-1.4194,0.0
277,12.0092,2.8917,-1.4194,0.0
278,12.0263,2.8938,-1.4194,0.0
279,12.0028,2.9181,-1.4194,0.0
280,11.964,2.8553,-1.4193,0.0
281,11.9807,2.8593,-1.4193,0.0
282,11.9883,2.9006,-1.4193,0.0
283,12.0186,2.9219,-1.4193,0.0
284,12.0446,2.8882,-1.4193,0.0
285,11.9229,2.7357,-1.4193,0.0
286,11.9789,2.8669,-1.4193,0.0
287,11.9458,2.6333,-1.4193,0.0
288,12.0203,2.9163,-1.4193,0.0
289,11.9179,2.9761,-1.4193,1.0
290,11.9184,2.6041,-1.4193,0.0
291,11.9452,2.6371,-1.4193,0.0
292,12.0084,2.8895,-1.4193,0.0
293,11.9768,2.8759,-1.4193,0.0
294,12.0372,2.8428,-1.4193,0.0
295,11.8121,2.3023,-1.4193,3.0
296,12.035,2.9259,-1.4193,0.0
297,11.94,2.6592,-1.4193,0.0
298,11.9599,2.6482,-1.4193,0.0
299,11.9746,2.8853,-1.4193,0.0
300,11.9572,2.6615,-1.4193,0.0
301,11.9584,2.8794,-1.4193,0.0
302,11.9585,2.9527,-1.4193,1.0
303,11.9588,2.9508,-1.4193,1.0
304,11.9588,2.8776,-1.4193,0.0
305,12.0552,2.9148,-1.4192,0.0
306,11.9622,2.8629,-1.4192,0.0
307,12.016,2.9273,-1.4192,0.0
308,11.9488,2.7689,-1.4192,0.0
309,11.9835,2.9194,-1.4192,0.0
310,11.9369,2.8921,-1.4192,0.0
311,11.965,2.8496,-1.4192,0.0
312,11.9324,2.8419,-1.4192,0.0
313,12.0151,2.9326,-1.4192,0.0
314,11.938,2.6647,-1.4192,0.0
315,12.0405,2.8992,-1.4192,0.0
316,11.9683,2.9077,-1.4192,0.0
317,11.9993,2.8538,-1.4192,0.0
318,11.9397,2.6575,-1.4192,0.0
319,12.0382,2.9086,-1.4192,0.0
320,12.0289,2.8768,-1.4192,0.0
321,11.9404,2.9502,-1.4192,1.0
322,11.9706,2.8251,-1.4192,0.0
